algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
UCS,22,4730,66,123,0.031242847442626953,True
A*,22,2518,66,123,0.015621423721313477,True
DFS Limited,22,76,76,153,0.0,True
Random,22,540,2001,5045,0.015621423721313477,False
BFS,23,7287,85,140,0.1266942024230957,True
DFS,23,638,621,1706,0.04627704620361328,True
UCS,23,3645,85,140,0.0313720703125,True
A*,23,4412,85,140,0.031272172927856445,True
DFS Limited,23,638,621,1706,0.046864986419677734,True
Random,23,539,2001,5018,0.01562643051147461,False
BFS,24,3819,67,194,0.03825259208679199,True
DFS,24,3956,1879,5488,0.7062089443206787,True
UCS,24,2844,67,194,0.015619516372680664,True
A*,24,1986,67,194,0.015617609024047852,True
DFS Limited,24,3956,1879,5488,0.6332898139953613,True
Random,24,331,2001,4912,0.0,False
BFS,25,7815,110,314,0.11816096305847168,True
DFS,25,506,504,1486,0.03581547737121582,True
UCS,25,5597,110,314,0.03531193733215332,True
A*,25,5114,110,314,0.03315854072570801,True
DFS Limited,25,506,504,1486,0.031783103942871094,True
Random,25,274,2001,5010,0.0,False
BFS,26,8986,115,385,0.14175963401794434,True
DFS,26,4718,2505,7323,0.9163954257965088,True
UCS,26,9199,115,385,0.06322288513183594,True
A*,26,6732,115,385,0.05469179153442383,True
DFS Limited,26,4718,2505,7323,0.9157619476318359,True
Random,26,475,2001,4974,0.01565694808959961,False
BFS,27,6550,78,160,0.17860174179077148,True
DFS,27,5389,526,1446,0.40920472145080566,True
UCS,27,7936,78,160,0.06813406944274902,True
A*,27,3150,78,160,0.019933223724365234,True
DFS Limited,27,5389,526,1446,0.4337029457092285,True
Random,27,518,2001,4991,0.0016624927520751953,False
BFS,28,40,6,17,0.0,True
DFS,28,7692,518,1491,0.6551587581634521,True
UCS,28,1053,6,17,0.01727604866027832,True
A*,28,24,6,17,0.0,True
DFS Limited,28,7692,518,1491,0.6801786422729492,True
Random,28,229,972,2446,0.014035224914550781,True
BFS,29,7445,100,265,0.10353422164916992,True
DFS,29,3360,2274,6617,0.7363324165344238,True
UCS,29,6616,100,265,0.04715132713317871,True
A*,29,5485,100,265,0.04934120178222656,True
DFS Limited,29,3360,2274,6617,0.7019054889678955,True
Random,29,553,2001,4977,0.0,False
