algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
UCS,22,4730,66,123,0.031244993209838867,True
A*,22,2518,66,123,0.015622377395629883,True
DFS Limited,22,76,76,153,0.0,True
Random,22,578,2001,4955,0.015617847442626953,False
BFS,23,7287,85,140,0.10988426208496094,True
DFS,23,638,621,1706,0.06451892852783203,True
UCS,23,3645,85,140,0.014037132263183594,True
A*,23,4412,85,140,0.03127861022949219,True
DFS Limited,23,638,621,1706,0.06425189971923828,True
Random,23,509,2001,5028,0.0,False
BFS,24,3819,67,194,0.03951287269592285,True
DFS,24,3956,1879,5488,0.6114985942840576,False
UCS,24,2844,67,194,0.015622615814208984,True
A*,24,1986,67,194,0.015620946884155273,True
DFS Limited,24,3956,1879,5488,0.6271798610687256,False
Random,24,512,2001,5027,0.0,False
BFS,25,7815,110,314,0.11667251586914062,True
DFS,25,506,504,1486,0.04739689826965332,True
UCS,25,5597,110,314,0.04686403274536133,True
A*,25,5114,110,314,0.031239748001098633,True
DFS Limited,25,506,504,1486,0.04686450958251953,True
Random,25,305,2001,4909,0.0,False
BFS,26,8986,115,385,0.1394507884979248,True
DFS,26,4718,2505,7323,0.9350724220275879,False
UCS,26,9199,115,385,0.062485456466674805,True
A*,26,6732,115,385,0.04855751991271973,True
DFS Limited,26,4718,2505,7323,0.9663546085357666,False
Random,26,520,2001,5018,0.0,False
BFS,27,6550,78,160,0.09485197067260742,True
DFS,27,5389,526,1446,0.4156320095062256,True
UCS,27,7936,78,160,0.06303143501281738,True
A*,27,3150,78,160,0.017385482788085938,True
DFS Limited,27,5389,526,1446,0.4257042407989502,True
Random,27,573,2001,5033,0.0,False
BFS,28,40,6,17,0.0,True
DFS,28,7692,518,1491,0.7210202217102051,True
UCS,28,1053,6,17,0.0,True
A*,28,24,6,17,0.0,True
DFS Limited,28,7692,518,1491,0.68416428565979,True
Random,28,484,2001,4976,0.0,False
BFS,29,7445,100,265,0.11583447456359863,True
DFS,29,3360,2274,6617,0.7010016441345215,False
UCS,29,6616,100,265,0.031239986419677734,True
A*,29,5485,100,265,0.04686379432678223,True
DFS Limited,29,3360,2274,6617,0.6624343395233154,False
Random,29,486,2001,5045,0.0,False
